label,text
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim now
spam,URGENT: Your account has been suspended. Verify your details immediately to avoid closure
spam,You have been selected for a free iPhone 15! Claim your prize before it expires
spam,Limited time offer: Get rich quick with this one simple trick investors don't want you to know
spam,Congratulations winner! You have won a lottery of $50000. Send your bank details to claim
spam,"Hot singles in your area are waiting to chat with you tonight, click now"
spam,Free entry in 2 a weekly competition to win FA Cup final tickets text FA to 87121
spam,WINNER!! As a valued network customer you have been selected to receive a prize reward
spam,Click here to unlock your free trial and get 90% off all products today only
spam,"Your loan of $10000 has been approved, no credit check required, apply now"
spam,Reply STOP to unsubscribe or continue to receive amazing cashback offers every week
spam,"Act now! Your subscription is about to expire, renew immediately to avoid penalty charges"
spam,"You are pre-approved for a credit card with 0% interest, click to activate instantly"
spam,"Get paid $500 a day working from home, no experience needed, sign up now"
spam,Final notice: pay your outstanding balance immediately or face legal action today
spam,"Exclusive deal just for you, buy one get three free, limited stock available"
spam,"Your package could not be delivered, click here to reschedule and pay a small fee"
spam,"Make money fast with crypto trading, guaranteed returns of 200% in one week"
spam,"Claim your free vacation package to the Bahamas, all expenses paid, click now"
spam,"Your Netflix account is on hold, update your payment info within 24 hours"
spam,"Congratulations you have been chosen for a cash prize, reply YES to claim"
spam,"Earn extra income daily by clicking ads, no investment required, start today"
spam,"Your computer has a virus, call this number immediately for tech support"
spam,"Special discount just for you, 70% off your next order, use code NOW70"
spam,"You have unclaimed rewards points expiring tonight, redeem before midnight"
ham,Hey are we still on for lunch tomorrow at noon?
ham,Can you send me the notes from today's class when you get a chance?
ham,"Happy birthday! Hope you have an amazing day, let's catch up soon"
ham,"Meeting has been moved to 3pm in conference room B, please update your calendar"
ham,"Thanks for helping me move last weekend, really appreciate it"
ham,Don't forget to bring your laptop charger to the workshop tomorrow
ham,"I finished the assignment, let me know if you want me to review yours too"
ham,"Running a bit late, should be there in 10 minutes"
ham,Can we reschedule our call to Friday afternoon instead?
ham,"The project report is due next Monday, have you started the intro section?"
ham,Let's grab coffee this weekend if you're free
ham,"I submitted the internship application, fingers crossed"
ham,Can you review my resume before I send it out tomorrow?
ham,"The train got delayed, I'll reach home around 8pm"
ham,"Great presentation today, your slides were really clear"
ham,Do you want to carpool to the seminar on Thursday?
ham,I updated the shared spreadsheet with this week's numbers
ham,Mom asked if you're coming home for the holidays
ham,Let me know if the code changes I pushed look okay to you
ham,Are you free for a quick call to discuss the project plan?
ham,"Just checking in, how did your interview go yesterday?"
ham,I'll send the invoice once the client confirms the scope
ham,Can you pick up milk on your way back home?
ham,"The library closes at 9pm today, plan accordingly"
ham,Looking forward to catching up at the reunion next month
